gene_id,gene_symbol,fpkm_C42B0,fpkm_C42B25nM,fpkm_C42B50nM,tpm_C42B0,tpm_C42B25nM,tpm_C42B50nM,read_count_C42B0,read_count_C42B25nM,read_count_C42B50nM
54890,ALKBH5,54.97,75.2,74.64,101.8,142.25,137.83,3246,4318,4154
54891,INO80D,0.68,0.98,0.81,1.25,1.85,1.5,181,238.14,187.11
54892,NCAPG2,25.72,8.98,7.93,47.62,16.98,14.65,1626.09,570.6,498.06
54893,MTMR10,2.8,3.6,2.84,5.18,6.81,5.25,256.08,313.89,247.78
54894,RNF43,3.19,4.13,3.88,5.91,7.8,7.17,279,328.01,308
54896,SLC66A1,5.18,6.65,7.09,9.59,12.57,13.09,231.54,272.24,269.18
54897,CASZ1,9.14,7.8,8.66,16.93,14.75,16,1262,1027,1115
54898,ELOVL2,7.98,18.55,13.38,14.78,35.09,24.71,587,1340,939
54899,PXK,3.52,3.09,3.01,6.51,5.85,5.55,211.08,189.68,180.71
54900,LAX1,0.2,0.14,0.24,0.37,0.27,0.44,16.44,13,13.73
54901,CDKAL1,4.09,2.7,2.33,7.57,5.12,4.31,244.91,161.3,132.16
54902,TTC19,30.27,28.95,25.12,56.06,54.77,46.39,1601.99,1543.56,1242.92
54903,MKS1,9.94,8.59,8.85,18.4,16.25,16.34,389,332,352
54904,NSD3,5.86,6.24,5.3,10.85,11.8,9.8,711.08,628.18,490.31
54905,CYP2W1,0.17,0.11,0.31,0.32,0.22,0.57,7.36,3.97,10.28
54906,TASOR2,11.09,10.41,9.22,20.53,19.69,17.03,1941.38,1830.71,1577.81
54908,SPDL1,14.97,9.07,9.23,27.72,17.15,17.04,720.01,449.22,450.38
54910,SEMA4C,2.37,4.22,3.84,4.39,7.99,7.09,145.05,241.95,236.01
54913,RPP25,3.43,2.94,2.74,6.34,5.55,5.06,150,125,113
54914,FOCAD,10.79,8.94,8.58,19.98,16.91,15.84,1192.77,976.03,914.63
54915,YTHDF1,28.18,39.51,34.45,52.19,74.75,63.61,1685,2283,1932
54916,TMEM260,3.51,3.9,3.51,6.5,7.38,6.48,269,288,252
54918,CMTM6,18.53,31.19,24.94,34.31,59,46.05,1146,1876,1454
54919,DNAAF5,30.8,19.4,21.01,57.04,36.71,38.79,1957.63,1202.87,1260.2
54920,DUS2,9.77,9.94,10.76,18.09,18.8,19.86,354,350,365
54921,CHTF8,27.48,27.97,28.74,50.89,52.9,53.07,1497.87,1480.73,1475
54922,RASIP1,0.13,0.09,0.21,0.24,0.17,0.39,8,5,12
54923,LIME1,2.65,2.71,3.59,4.91,5.12,6.63,59.02,55.67,75.7
54925,ZSCAN32,6.81,9.82,8.22,12.61,18.58,15.19,344.88,460,367
54926,UBE2R2,32.37,36.93,34.65,59.94,69.86,63.98,2717,3019,2745
54927,CHCHD3,46.1,32.72,28.54,85.36,61.91,52.71,1350,909,767
54928,BPNT2,22.39,23.4,20.37,41.47,44.26,37.61,3050.29,3099.78,2614.86
54929,TMEM161A,42.89,34.01,40.58,79.43,64.33,74.93,1431.01,1096,1274.88
54930,HAUS4,22.46,12.47,13.68,41.59,23.59,25.26,657,358,378
54931,TRMT10C,23.65,22.26,21.07,43.79,42.11,38.9,792,725,665
54932,EXD3,1.16,1.87,1.9,2.15,3.54,3.5,33,51,56
54933,RHBDL2,1.89,2.92,2.66,3.49,5.51,4.92,65.71,98.42,87.25
54934,KANSL2,17.34,24.63,21.64,32.11,46.6,39.96,765,1057,900
54935,DUSP23,45.8,48.42,50.48,84.82,91.6,93.22,586,617,619
54936,ADPRS,24.45,28.19,28.57,45.28,53.33,52.76,733,829,816
54937,SOHLH2,20.81,21.08,19.17,38.53,39.88,35.39,817,807,711
54938,SARS2,24.44,22.07,21.78,45.25,41.75,40.23,870,764,731
54939,COMMD4,57.09,65.89,67.29,105.72,124.64,124.26,874.97,1013.73,994
54940,OCIAD1,79.1,84.86,77.53,146.48,160.54,143.18,2060.45,2141.5,1877.98
54941,RNF125,2.11,1.32,1.07,3.9,2.5,1.98,206.99,116.38,91.75
54942,ABITRAM,16.64,15.01,13.19,30.81,28.4,24.35,585,510,437
54943,DNAJC28,1.62,3.7,3.2,3,7.01,5.91,48,99,84
54946,SLC41A3,14.12,12.12,15.27,26.14,22.92,28.2,532,445,536
54947,LPCAT2,0.76,1.42,1.38,1.41,2.68,2.55,38.27,66.43,68.01
54948,MRPL16,74.17,67.73,71.56,137.34,128.12,132.14,1456,1293,1324
54949,SDHAF2,29.97,42.68,40.7,55.5,80.74,75.15,647,896,828
54951,COMMD8,10.43,16.8,11.55,19.32,31.78,21.33,281.06,439.08,295.2
54952,TRNAU1AP,15.83,14.27,14.21,29.32,26.99,26.24,526,461,445
54953,ODR4,8.27,6.46,5.96,15.32,12.22,11,483,405,355.03
54954,FAM120C,5.24,6.27,7.14,9.71,11.86,13.18,504,660.03,664.25
54955,C1orf109,14.93,12.38,10.16,27.64,23.42,18.75,724.21,575.29,457.36
54956,PARP16,8.09,4.13,4.13,14.98,7.82,7.62,358.94,184.32,180.4
54957,TXNL4B,6.28,5.96,4.92,11.63,11.28,9.08,274.59,251.85,207.57
54958,TMEM160,27.2,30.39,35.6,50.38,57.48,65.73,313,340,386
54959,ODAM,5.29,12.71,8.97,9.79,24.05,16.56,120,281,192
54960,GEMIN8,10.21,11.44,11.06,18.91,21.64,20.43,503.29,562,531.76
54961,SSH3,21.22,23.83,25.36,39.29,45.07,46.84,1109,1209,1247
54962,TIPIN,14.32,13.07,11.81,26.52,24.73,21.81,484.79,422.39,396.4
54963,UCKL1,22.79,23.3,24.79,42.19,44.07,45.78,787,799,816
54964,C1orf56,0.8,0.98,1.18,1.48,1.86,2.18,30.96,37,42.98
54965,PIGX,16.91,14.96,12.3,31.31,28.3,22.72,962.97,828.26,658.86
54967,CT55,0.1,0.03,0,0.18,0.05,0,4,1,0
54968,TMEM70,23.7,22.27,17.2,43.89,42.12,31.77,893.07,815.97,610.83
54969,HPF1,19.9,23.48,20.35,36.86,44.42,37.58,441,506,425
54970,TTC12,8.11,6.16,7.48,15.03,11.65,13.81,340,259,304
54971,BANP,9.6,6.83,7.72,17.77,12.92,14.25,423,296.08,309.26
54972,TMEM132A,61.3,71.72,82.19,113.51,135.67,151.78,4038.83,4599.78,5102.67
54973,INTS11,59.57,59.05,67.32,110.32,111.72,124.31,2331.47,2250.93,2485.39
54974,THG1L,2.71,1.83,1.82,5.02,3.46,3.37,145.46,95.35,92.43
54976,C20orf27,66.77,60.75,65.7,123.64,114.92,121.33,1525,1349,1415
54977,SLC25A38,23.4,26.77,24.05,43.34,50.65,44.41,857,1004,866
54978,SLC35F6,10.42,25.43,28.51,19.3,48.11,52.64,762.45,1809.23,1965.47
54980,C2orf42,2.96,3.28,3.31,5.47,6.21,6.12,143,152,150
54981,NMRK1,5.7,2.13,1.97,10.55,4.02,3.64,289.39,126.69,113.78
54982,CLN6,39.55,26.67,31.21,73.23,50.45,57.63,1636,1073,1217
54984,PINX1,11.54,20.23,20.71,21.36,38.27,38.24,324,556,553
54985,HCFC1R1,94.23,145.15,173.86,174.5,274.58,321.05,1396.88,1986.84,2339.32
54986,ULK4,0.1,0.18,0.12,0.18,0.34,0.22,8.05,14,9
54987,CZIB,22.01,17.53,17.83,40.76,33.16,32.92,440.09,340.82,335.88
54988,ACSM5,0,0.13,0.13,0,0.25,0.25,0,4,4
54989,ZNF770,12.89,13.24,11.32,23.87,25.04,20.9,1289.54,1302.73,1073.49
54991,C1orf159,11.31,5,5.68,20.95,9.46,10.49,398,179,193
54993,ZSCAN2,13.05,7.56,8.09,24.16,14.31,14.95,449.71,340.72,347.66
54994,GID8,22.98,25.64,21.36,42.56,48.5,39.44,1885,2045,1651
54995,OXSM,19.21,19.8,15.36,35.58,37.45,28.36,556.85,560,417
54996,MTARC2,11.7,8.12,9.26,21.66,15.36,17.09,465.13,312.54,347.53
54997,TESC,3.38,4.38,4.73,6.25,8.29,8.73,60,75,80
54998,AURKAIP1,318.73,328.19,359.41,590.22,620.85,663.68,4517,4553,4791
55001,TTC22,0.13,0.2,0.18,0.25,0.38,0.33,7.71,12.38,10.76
55002,TMCO3,23.55,9.81,9.36,43.61,18.56,17.28,1299.04,528.43,496.68
55003,PAK1IP1,63.72,67.02,44.96,118,126.79,83.03,1819,1856,1205
55004,LAMTOR1,136.13,220.01,230.86,252.09,416.19,426.31,2687.93,4224.58,4296.42
55005,RMND1,6.23,5.73,4.98,11.54,10.85,9.19,224.64,201.53,169.08
55006,TRMT61B,11.64,8.68,7.65,21.55,16.41,14.13,392.14,284.95,245.8
55007,FAM118A,8.77,9.64,7.65,16.24,18.24,14.12,427.39,450.26,381.65
55008,HERC6,3.67,8.25,8.49,6.79,15.61,15.68,246.95,539.53,540.38
55009,FAM174C,155.25,125.61,149.07,287.5,237.61,275.27,2420,1904,2190
55010,PARPBP,11.17,5.26,4.35,20.69,9.94,8.03,538.22,260.59,207.59
55011,PIH1D1,76.57,42.27,43.54,141.79,79.97,80.39,1691,919,912
55012,PPP2R3C,12.03,15.47,14.33,22.27,29.27,26.46,425.82,495.72,467.77
55013,MCUB,0.43,0.47,0.72,0.8,0.89,1.32,18,19,28
55014,STX17,5.7,8.09,7.95,10.55,15.3,14.68,741.39,1025.9,976.46
55015,PRPF39,7.18,10.27,9.76,13.29,19.43,18.02,474.52,660.47,608.07
55016,MARCHF1,0.35,0.16,0.11,0.65,0.31,0.2,34,15,10
55017,C14orf119,29.28,27.08,25.68,54.22,51.22,47.43,720.37,651.86,594.95
55018,ANKRD40CL,0.82,1.11,1.42,1.52,2.1,2.63,12.82,16.39,19.95
55020,TTC38,15.4,12.02,12.85,28.52,22.75,23.72,734,556,578
55022,PID1,0,0,0.02,0,0,0.04,0,0,1
55023,PHIP,3.25,2.34,2.46,6.01,4.43,4.54,724,513,489
55024,BANK1,2.62,2.92,2.62,4.85,5.53,4.85,151,165,144
55026,TMEM255A,0.43,0.19,0.06,0.79,0.36,0.11,16,7,2
55027,HEATR3,6.88,7.94,6.97,12.75,15.02,12.88,560.33,635.56,533.62
55028,C17orf80,9.44,9.68,8.41,17.47,18.31,15.53,592,604,512
55030,FBXO34,7.21,7.55,6.71,13.36,14.29,12.39,448,462,396
55031,USP47,7.23,8.13,7.05,13.39,15.38,13.02,1065.83,1182.71,999
55032,SLC35A5,5.78,9.75,8.32,10.71,18.44,15.37,469.5,772.69,642.09
55033,FKBP14,7.75,3.08,2.48,14.36,5.83,4.58,725.53,280.58,218.69
55034,MOCOS,7.42,5.35,5.67,13.74,10.12,10.47,864.09,605.73,622.31
55035,NOL8,5.23,6.48,6.24,9.69,12.26,11.51,403.58,490.51,462.11
55036,CCDC40,1.39,2.42,2.17,2.57,4.57,4,103.99,164.98,133.37
55037,PTCD3,11.16,10.17,10.07,20.67,19.23,18.59,1405.15,1244.85,1194.6
55038,CDCA4,17.98,5.4,6.22,33.29,10.21,11.49,816,236,267
55039,TRMT12,11.08,11.67,10.38,20.52,22.08,19.18,454,465,401
55040,EPN3,48.88,46.16,55.4,90.51,87.32,102.3,3554,3264,3797
55041,PLEKHB2,37.8,45.89,43.44,69.99,86.81,80.21,2738.48,3236.42,2952.8
55048,VPS37C,31.34,35.58,41.28,58.04,67.31,76.23,1553,1697,1900
55049,REX1BD,55.81,63.56,59.41,103.36,120.25,109.71,940,1016,927
55051,NRDE2,3.71,4.54,4.33,6.88,8.59,7.99,324.61,400.2,357.88
55052,MRPL20,248.86,251.28,240.91,460.84,475.35,444.87,3104,3047,2830
55054,ATG16L1,5.64,8.19,6.69,10.44,15.48,12.35,342,472,380
55055,ZWILCH,18.63,10.4,9.55,34.5,19.68,17.63,1186.38,648.77,569.88
55057,CRYBG2,0.56,1.54,1.71,1.04,2.91,3.16,55,147,159
55061,SUSD4,1.06,1.01,0.97,1.96,1.91,1.79,28,35,39
55062,WIPI1,16.54,12.41,9.92,30.62,23.48,18.33,589.87,428.01,334.69
55063,ZCWPW1,3.92,9.81,8.82,7.27,18.55,16.29,203.69,491.12,440.37
55064,SPATA6L,0.47,0.43,0.39,0.87,0.82,0.72,31.27,31.24,28.37
55065,SLC52A1,0.07,0.12,0.14,0.13,0.23,0.27,3.25,5.14,6.12
55066,PDPR,3.27,4.61,5.3,6.06,8.72,9.78,532.71,736.48,815.86
55068,ENOX1,6.63,4.08,3.86,12.27,7.72,7.12,407.83,244.55,224.05
55069,TMEM248,36.44,35.54,32.75,67.48,67.23,60.48,1971.74,2005,1789.99
55070,DET1,1.71,1.89,1.63,3.17,3.57,3.01,74,79,66
55071,C9orf40,9.24,3.72,3.01,17.12,7.03,5.56,404,158,124
55072,RNF31,9.4,9.85,10.22,17.41,18.63,18.87,603,621,627
55074,OXR1,8.49,10.31,9.04,15.71,19.5,16.7,620,683,559
55075,UACA,3,3.68,4.02,5.55,6.96,7.41,266.84,352.24,348.58
55076,TMEM45A,2.52,0.21,0.26,4.67,0.39,0.48,72,5,7
55080,TAPBPL,5.34,7.61,9.23,9.89,14.4,17.05,176.28,243.47,283.53
55081,IFT57,12.4,17.43,14.51,22.96,32.97,26.79,708,968,781
55082,ARGLU1,15.07,14.77,13.46,27.9,27.95,24.85,948,904,798
55083,KIF26B,0.02,0.01,0,0.03,0.02,0.01,4,3,1
55084,SOBP,0.52,0.41,0.61,0.96,0.77,1.13,54,44,63
55086,RADX,0.38,0.79,0.88,0.71,1.5,1.63,26,55,60
55088,CCDC186,4.82,5.88,4.93,8.92,11.12,9.1,570.49,639.55,472.58
55089,SLC38A4,0.08,2.76,2.31,0.16,5.23,4.27,6,191,155
55090,MED9,14.66,15.07,14.77,27.14,28.51,27.28,601,601,571
55092,TMEM51,2.48,2.05,1.99,4.6,3.89,3.68,87,73,67
55093,NTAQ1,8.24,5.15,4.43,15.27,9.75,8.18,232.09,152.84,119
55094,GPATCH1,4.16,4.59,4.57,7.7,8.67,8.45,248,266,255
55095,SAMD4B,33.23,35,39.63,61.53,66.21,73.18,2961.06,2999.32,3291.53
55096,EBLN2,0.23,0.1,0.24,0.42,0.19,0.44,7,3.04,7
55100,WDR70,13.87,14.54,13.33,25.69,27.5,24.61,564,539,504.74
55101,DMAC2,16.36,23.53,24.18,30.3,44.51,44.65,557.97,776,776.94
55102,ATG2B,2.77,2.81,2.31,5.13,5.32,4.27,689.39,680.5,543.09
55103,RALGPS2,1.67,1.78,1.38,3.09,3.37,2.56,174,235,184
55105,GPATCH2,8.86,9.11,6.75,16.41,17.24,12.47,496.74,473.19,316.55
55106,SLFN12,0.16,0.11,0.01,0.29,0.21,0.02,9.01,5,1
55107,ANO1,0.04,0.03,0.04,0.07,0.05,0.07,3,2,2
55108,BSDC1,19.39,21.15,22.33,35.9,40.01,41.24,1202.34,1281.94,1316.66
55109,AGGF1,15.81,12.66,11.07,29.28,23.95,20.45,1333,1038,880
55110,MAGOHB,10.65,4.39,3.77,19.73,8.31,6.96,429,173,145
55111,PLEKHJ1,79.58,78.62,70.74,147.37,148.72,130.62,1784.85,1714.19,1489.58
55112,DYNC2I1,1.7,2.24,2.32,3.15,4.24,4.29,115.15,154.95,152.19
55113,XKR8,8.07,8.02,10.29,14.94,15.17,19.01,328,320,396
55114,ARHGAP17,16.14,14.4,15.8,29.89,27.25,29.17,1033,903,960
55116,TMEM39B,12.1,10.83,12.63,22.41,20.49,23.32,411,385.05,425.67
55118,CRTAC1,0.02,0.03,0.03,0.04,0.05,0.05,1,1,1
55119,PRPF38B,17.22,12.21,11.06,31.88,23.1,20.42,853.18,634.93,513.19
55120,FANCL,2.84,3.18,3.22,5.25,6.01,5.94,89.32,96.5,94.53
55122,AKIRIN2,6.3,8.52,8.61,11.66,16.12,15.91,221,291,285
55124,PIWIL2,0.06,0.08,0.13,0.11,0.14,0.23,5.86,6.67,11.06
55125,CEP192,4.64,4.09,4.33,8.59,7.75,7.99,640,547,562
55127,HEATR1,8.66,5.26,4.68,16.04,9.95,8.65,1383.29,816.67,704.91
55128,TRIM68,10.11,14.66,15.23,18.72,27.73,28.12,587.11,833.17,828.69
55129,ANO10,11.8,12.1,11.61,21.86,22.89,21.44,552,526,478
55130,ARMC4,0.23,0.08,0.08,0.43,0.16,0.15,10.46,4.75,4
55131,RBM28,5.22,5.03,4.65,9.67,9.51,8.59,960.55,905.98,821.67
55132,LARP1B,10.93,7.68,7.41,20.24,14.52,13.69,656,441,396
55133,SRBD1,3.95,5.99,5.66,7.32,11.33,10.46,271,400,366
55135,WRAP53,24.74,19.02,20.04,45.81,35.98,37.01,834.33,628.45,634.03
55137,FIGN,0.35,0.31,0.29,0.65,0.59,0.53,68,55,50
55138,FAM90A1,0.93,1.67,1.79,1.72,3.15,3.3,42.87,74.51,77.59
55139,ANKZF1,13.38,11.88,11.51,24.77,22.48,21.25,615,539.14,499.87
55140,ELP3,20.75,29.67,27.62,38.43,56.13,51,910.52,1384.59,1255.51
55142,HAUS2,12.12,7.97,9.27,22.44,15.08,17.12,583.22,376.47,346.19
55143,CDCA8,24.6,14.42,16.28,45.55,27.28,30.06,1071,612,663
55144,LRRC8D,24.05,18.26,17.98,44.54,34.55,33.21,1472,1078,1037
55145,THAP1,6.47,8.03,7.46,11.99,15.18,13.78,258,313,282
55146,ZDHHC4,60.67,84.45,76.87,112.36,159.75,141.95,1644.01,2227,1953
55147,RBM23,24.75,27.41,31.44,45.83,51.84,58.06,1214.51,1311.7,1442.46
55148,UBR7,21.33,17.88,16.3,39.5,33.82,30.1,1395,1137,1005
55149,MTPAP,6.81,6.81,5.35,12.61,12.88,9.87,720.42,700.36,532.95
55150,C19orf73,4.6,6.67,6.4,8.52,12.62,11.81,60.51,85.35,79.32
55151,TMEM38B,15.98,16.3,12.52,29.59,30.84,23.13,672,735,504
55152,DALRD3,20.24,28.03,29.19,37.48,53.02,53.91,693.08,934.09,949.57
55153,SDAD1,18.54,17.52,17.86,34.33,33.15,32.97,1042,956,938
55154,MSTO1,41.09,21.33,21.99,76.1,40.36,40.6,1791.12,942.51,965.99
55156,ARMC1,16.88,17.28,14.76,31.27,32.69,27.26,946,944,769
55157,DARS2,23.81,29.26,31.59,44.08,55.35,58.34,1475,1765,1846
55159,RFWD3,7.88,5.91,5.58,14.59,11.19,10.31,711.9,526.11,483.72
55160,ARHGEF10L,2.07,3.02,3.22,3.84,5.71,5.95,164,229,252
55161,TMEM33,41.38,26.91,18.76,76.62,50.9,34.65,2773.93,1909.28,1425.07
55163,PNPO,42.82,64.25,67.5,79.29,121.55,124.64,2645.26,3873.68,3927.12
55164,SHQ1,8.35,8.29,8.66,15.46,15.68,15.98,442,427,428
55165,CEP55,22.95,14.34,13.77,42.49,27.12,25.43,1086,669,605
55166,CENPQ,7.27,4.1,3.14,13.46,7.75,5.8,237,129,97
55167,MSL2,5.29,7.03,6.82,9.79,13.3,12.6,421.76,543.13,507.24
55168,MRPS18A,83.8,73.65,77.19,155.18,139.33,142.54,1818.73,1555.79,1580.05
55170,PRMT6,53.76,35.25,27.22,99.55,66.68,50.27,2625,1674,1253
55171,TBCCD1,9.98,11.34,10.34,18.48,21.44,19.09,498.75,554.98,485.45
55172,DNAAF2,17.62,19.02,13.15,32.63,35.98,24.29,608,656,460
55173,MRPS10,18.86,25.84,23.18,34.92,48.88,42.8,737.73,978.01,852.91
55174,INTS10,52.57,46.61,42.17,97.35,88.17,77.87,2438,2106,1831
55175,KLHL11,2.46,3.24,2.78,4.56,6.13,5.13,344.01,439.72,365.36
55176,SEC61A2,2.92,4.08,3.78,5.41,7.71,6.98,134,181,163.12
55177,RMDN3,32.01,31.95,27.62,59.27,60.44,51.01,1332,1294,1085
55178,MRM3,22.57,18.54,17.46,41.8,35.06,32.25,720,569,525
55179,FAIM,32,36.37,34.83,59.26,68.8,64.32,617.95,718.24,646.06
55180,LINS1,2.07,3.13,2.79,3.83,5.92,5.15,194.15,275.88,241.84
55181,SMG8,18.09,19.14,17.6,33.5,36.21,32.49,1105,1137,1013
55182,RNF220,52.21,65.54,69.27,96.69,123.98,127.91,1994,2426,2484
55183,RIF1,3.22,2.42,2.29,5.97,4.58,4.22,622.82,537.58,479.86
55184,DZANK1,0.62,1.12,1.02,1.14,2.12,1.88,41.57,70.14,60.92
55186,SLC25A36,13.55,7.99,6.84,25.1,15.12,12.62,1207.14,694,580
55187,VPS13D,3.04,3.86,4.07,5.62,7.3,7.51,936,1157,1181.28
55188,RIC8B,1.78,2.45,2.31,3.3,4.63,4.27,169,222,204
55190,NUDT11,1.94,5.83,4.76,3.59,11.03,8.8,85.85,250.95,198.82
55191,NADSYN1,15.64,23.58,26.6,28.96,44.61,49.12,781,1145,1252
55192,DNAJC17,11.57,10.68,9.88,21.43,20.2,18.25,317.79,297.89,301.13
55193,PBRM1,10.3,11.43,10.36,19.07,21.62,19.12,1532,1655,1451
55194,EVA1B,14.07,28.71,29.03,26.05,54.31,53.61,249,495,484
55195,CCDC198,0.16,0.06,0.12,0.3,0.11,0.22,7.14,3.23,4.59
55196,RESF1,1.59,1.55,1.81,2.94,2.93,3.35,184,178,198
55197,RPRD1A,17.92,23.06,19.03,33.18,43.62,35.14,1460,1854,1481
55198,APPL2,12.52,16.83,17.2,23.19,31.84,31.77,750.99,990.31,972.16
55199,FAM86C1P,16.49,8.94,8.67,30.53,16.91,16.01,632.18,337.61,314.74
55200,PLEKHG6,0.81,1.53,1.55,1.5,2.89,2.86,45,85.52,84.44
55201,MAP1S,22.54,35.57,45.84,41.74,67.29,84.64,1387,2130,2658
55203,LGI2,1.27,0.61,0.49,2.36,1.16,0.91,131,70,57
55204,GOLPH3L,11.83,12.42,11.76,21.9,23.49,21.72,690.51,705,648
55205,ZNF532,10.84,10.96,9.71,20.07,20.73,17.93,1212,1210,1038
55206,SBNO1,6.13,7.88,6.88,11.35,14.91,12.71,1289.6,1611.65,1364.73
55207,ARL8B,17.11,21.71,20.62,31.69,41.07,38.07,937,1156,1064
55208,DCUN1D2,5.39,3.47,3.58,9.98,6.56,6.61,319.19,203.02,203.37
55209,SETD5,13.7,9.86,9.42,25.37,18.66,17.39,1858.9,1313.84,1203.56
55210,ATAD3A,56.87,33.09,36.71,105.31,62.6,67.79,2618.01,1485.31,1595.91
55211,DPPA4,0.13,0.05,0.11,0.23,0.09,0.2,6.22,2.14,5.2
55212,BBS7,6.77,8.99,7.66,12.53,17.01,14.15,396.51,512.39,440.54
55213,RCBTB1,9.55,11.14,10.01,17.68,21.07,18.48,683.64,777.37,679.16
55214,P3H2,0.4,1.09,1.18,0.73,2.07,2.18,23,68,65.84
55215,FANCI,19.47,7.34,7.33,36.05,13.88,13.54,1737.25,636.34,616.34
55216,NKAPD1,12.21,10.37,9.8,22.61,19.61,18.09,758.1,632.49,569.77
55217,TMLHE,0.04,0.07,0.06,0.08,0.14,0.12,3,2,3
55218,EXD2,9.78,10.34,9.11,18.11,19.55,16.82,838,878,726
55219,MACO1,11.01,8.94,8.29,20.39,16.92,15.3,620,554,487
55220,KLHDC8A,0.12,0.37,0.4,0.22,0.69,0.74,6,18,20
55222,LRRC20,28.64,21.28,22.01,53.04,40.26,40.65,1614,1182,1184
55223,TRIM62,4.28,3.23,3.86,7.93,6.11,7.13,285,225,249
55224,ETNK2,2.63,12.54,8.02,4.86,23.73,14.81,113,516,339
55225,RAVER2,3.88,5.21,5.47,7.19,9.85,10.1,323,417,420
55226,NAT10,23.46,22.59,22.83,43.44,42.73,42.15,1714,1620,1575
55227,LRRC1,4.78,5.03,4.15,8.85,9.52,7.66,283,289,232
55228,PNMA8A,0.03,0.09,0.03,0.06,0.17,0.06,1.97,6.28,1.89
55229,PANK4,11.27,16.56,16.79,20.87,31.33,31,556,794,780
55230,USP40,9.42,8.12,7.35,17.45,15.37,13.58,951.82,798.85,714.84
55231,CCDC87,1.47,0.69,0.83,2.71,1.3,1.53,79,36,42
55233,MOB1A,11.09,12.21,11.43,20.53,23.1,21.1,1018.6,1091.29,989.75
55234,SMU1,35.99,44.55,39.44,66.65,84.27,72.83,1814.37,2278.34,1998.83
55236,UBA6,5.99,4.16,4.09,11.09,7.87,7.56,761,613.02,534.02
55237,VRTN,0.01,0,0,0.03,0,0,0.93,0,0
55238,SLC38A7,12.58,17.55,21.94,23.3,33.2,40.52,890.66,1222.5,1465.01
55239,OGFOD1,24.6,22.11,20.74,45.56,41.82,38.29,1340.09,1197.08,1066.31
55240,STEAP3,19.96,16.29,14.74,36.96,30.82,27.22,1460,1166.95,1030.72
55243,KIRREL1,0.25,0.38,0.35,0.46,0.72,0.64,35,52,46
55244,SLC47A1,0.03,0.13,0.06,0.06,0.25,0.11,2.02,7.83,3.51
55245,UQCC1,5.12,7.35,6.77,9.48,13.9,12.51,207,297,265
55246,CCDC25,17.56,24.93,21.59,32.52,47.16,39.88,1189,1647,1379.84
55247,NEIL3,4.7,3.3,3.82,8.7,6.24,7.05,192,131,158
55248,PACC1,7.99,9.78,6.94,14.8,18.5,12.81,294,342,246
55249,YY1AP1,32.31,43.37,46.21,59.83,82.05,85.32,1595.52,2100.63,2140.13
55250,ELP2,6.83,7.24,6.93,12.64,13.7,12.79,1088.79,1131.1,1037.83
55251,PCMTD2,11.52,12.79,10.68,21.33,24.2,19.72,833,899,727
55252,ASXL2,2.33,3.05,2.69,4.32,5.78,4.96,562,711,612
55253,TYW1,14.01,13.38,12.82,25.95,25.31,23.67,881.6,827.37,777.06
55254,TMEM39A,9.34,5.9,5.29,17.29,11.16,9.77,595,381,331
55255,WDR41,22.86,23.94,21.29,42.34,45.29,39.32,998,1244.02,1036.03
55256,ADI1,85.64,90.74,87.46,158.59,171.66,161.51,3516.65,3703.52,3432.58
55257,MRGBP,14.44,14.75,12.18,26.74,27.9,22.49,741,736,589
55258,THNSL2,14.81,16.87,19,27.43,31.91,35.09,707,816,862
55259,CFAP94,0.17,0.34,0.27,0.32,0.64,0.5,7,15,11
55260,TMEM143,4.35,6.5,7.62,8.05,12.29,14.07,180,263,299
55262,MAP11,12.27,13.04,14.07,22.72,24.67,25.98,531,546,559
55266,TMEM19,3.88,4.33,3.6,7.18,8.19,6.64,413.05,448.5,361.27
55268,ECHDC2,21.43,17.95,17.61,39.68,33.96,32.51,630.36,535.23,540.08
55269,PSPC1,33.94,80.15,77.3,62.86,151.62,142.75,1202.84,2752.18,2501.51
55270,NUDT15,28.6,30.99,26.61,52.96,58.63,49.13,954.93,942.88,728.16
55272,IMP3,124.91,118.61,109.98,231.3,224.37,203.09,2822,2606,2342
55273,TMEM100,0,0.07,0.14,0,0.13,0.26,0,2,4
55274,PHF10,6.97,4.59,4.9,12.91,8.69,9.06,280.11,179.55,185.8
55275,VPS53,6.89,9.4,11.09,12.76,17.78,20.47,986.24,1292.8,1415.26
55276,PGM2,20.69,38.2,34.22,38.31,72.26,63.18,1242,2230,1936
55277,FGGY,3.81,11.19,10.85,7.05,21.16,20.04,124,370.99,343
55278,QRSL1,6.29,6.19,5.12,11.65,11.72,9.45,484.58,463.53,370.61
55279,ZNF654,1.9,3.19,2.24,3.52,6.04,4.14,225.7,373.91,255.86
55280,CWF19L1,7.24,5.4,6.08,13.4,10.22,11.22,332.79,244.77,270.95
55281,TMEM140,0.97,2.47,3.45,1.79,4.67,6.38,35.77,88.75,120.41
55282,LRRC36,0.49,1.66,1.91,0.9,3.14,3.53,18.23,56.13,62.46
55284,UBE2W,7.18,6.38,5.79,13.29,12.07,10.69,696.14,688.46,509.71
55285,RBM41,3.79,4.78,4.89,7.03,9.05,9.04,388.79,537.18,528.85
55286,C4orf19,0.46,1.23,1.1,0.84,2.33,2.02,33.23,85.92,75.39
55287,TMEM40,0.18,0.21,0.28,0.33,0.39,0.51,6,8.05,10.44
55288,RHOT1,19.37,17.09,15.46,35.87,32.34,28.55,1097.54,980.03,849.22
