gene_id,gene_symbol,fpkm_C42B0,fpkm_C42B25nM,fpkm_C42B50nM,tpm_C42B0,tpm_C42B25nM,tpm_C42B50nM,read_count_C42B0,read_count_C42B25nM,read_count_C42B50nM
8842,PROM1,0,0.02,0.04,0,0.03,0.07,0,1,2
8843,HCAR3,0,0.03,0,0,0.05,0,0,1,0
8844,KSR1,0.2,0.86,1.04,0.37,1.62,1.92,21.17,92.98,111.01
8846,ALKBH1,6.8,8.33,8.33,12.59,15.76,15.39,329,392,380
8848,TSC22D1,33.12,86.57,95.23,61.33,163.76,175.85,2145,5278,5560
8850,KAT2B,2.87,3.94,3.41,5.32,7.45,6.3,237,315,265
8851,CDK5R1,3.47,3.47,3.25,6.43,6.57,5.99,273.91,267.37,242.67
8853,ASAP2,3.62,1.97,2.44,6.7,3.73,4.5,371.83,200.16,237.15
8854,ALDH1A2,0.1,0,0.02,0.19,0,0.03,6,0,1
8856,NR1I2,0.02,0.04,0,0.04,0.07,0,1,3,0
8857,FCGBP,1.91,2.93,3.21,3.53,5.54,5.92,463,691,733
8858,PROZ,0.11,0,0.04,0.2,0,0.07,3,0,1
8859,STK19,8.31,8.92,11.08,15.38,16.87,20.47,247.79,258.75,311.56
8861,LDB1,35.6,54.8,64.88,65.93,103.67,119.81,1990.8,3144.63,3568.67
8862,APLN,16.39,10.97,10.26,30.35,20.75,18.95,988,643,583
8863,PER3,5.24,5.14,5.41,9.7,9.73,10,604.11,563.32,563.54
8864,PER2,2.28,2.74,2.81,4.23,5.18,5.18,273.17,318.05,316.43
8867,SYNJ1,1.67,1.53,1.8,3.09,2.88,3.32,245.36,256.06,276.73
8869,ST3GAL5,2.81,4.18,3.62,5.2,7.91,6.68,129.4,200.5,157.65
8870,IER3,9.31,14.41,17.4,17.24,27.25,32.14,210,316,370
8871,SYNJ2,0.43,0.72,0.5,0.8,1.37,0.92,60.23,82.68,60.03
8872,CDC123,130.84,115.73,109.94,242.3,218.92,203.01,3155,2698,2479
8874,ARHGEF7,6.15,6.27,6.25,11.39,11.86,11.54,553,547,529
8875,VNN2,0.06,0.04,0.03,0.12,0.07,0.06,2,1,1
8876,VNN1,0.06,0.19,0.22,0.1,0.35,0.41,4,13,15
8877,SPHK1,6.37,3.41,4.02,11.8,6.46,7.42,219,115,131
8878,SQSTM1,138.93,360.73,432.84,257.27,682.41,799.29,7364.96,18594.48,21624.19
8879,SGPL1,8.88,13.95,13.43,16.45,26.38,24.8,867.41,1369.85,1272.44
8880,FUBP1,46.05,42.45,39.82,85.27,80.31,73.53,2542.95,2417.93,2216.74
8881,CDC16,19.95,22.86,23.5,36.95,43.24,43.4,749,847,835
8882,ZPR1,8.09,10.92,10.6,14.98,20.66,19.58,996.03,1307.42,1230.26
8883,NAE1,57.02,53.65,46.19,105.59,101.5,85.3,1874,1694,1414
8884,SLC5A6,18.49,18.24,18.38,34.23,34.51,33.95,1100,1052,1032
8886,DDX18,18.97,18.2,15.99,35.13,34.44,29.53,1334,1245,1060
8887,TAX1BP1,43.93,72.36,60.16,81.35,136.89,111.09,2783,4469,3604
8888,MCM3AP,12.82,13.97,12.36,23.74,26.42,22.82,1572.58,1664.69,1421.5
8890,EIF2B4,32.61,41.06,38.49,60.39,77.68,71.07,999,1214,1101
8891,EIF2B3,15.33,12.18,12.36,28.39,23.04,22.83,474,366,354
8892,EIF2B2,20.23,20.74,20.84,37.46,39.24,38.49,1634.11,1629.67,1587.1
8893,EIF2B5,27.31,21.01,20.21,50.57,39.75,37.32,1303,975,910
8894,EIF2S2,162.42,118.06,107.49,300.77,223.34,198.5,5273,3740,3340
8895,CPNE3,35.36,28.23,27.24,65.49,53.4,50.3,3225.48,2501,2342.02
8896,BUD31,109.12,120.99,132.94,202.07,228.89,245.49,1783.25,1969.11,2057.45
8897,MTMR3,4.41,5.87,5.56,8.17,11.11,10.26,748,969,888
8898,MTMR2,12.55,15.35,14.17,23.25,29.04,26.17,1076.3,1278,1141.43
8899,PRPF4B,12.36,16,13.01,22.89,30.26,24.02,1148,1487,1164
8900,CCNA1,0,0,0.11,0,0,0.2,0,0,3
8904,CPNE1,65.59,40.21,42.25,121.47,76.06,78.01,2399.15,1453.11,1498.09
8905,AP1S2,5.69,4.97,4.22,10.55,9.4,7.8,270.67,235.9,190.79
8906,AP1G2,28.46,31.24,35,52.7,59.09,64.63,1401.63,1500.08,1611.66
8907,AP1M1,5.42,6.41,7.05,10.04,12.13,13.01,1320.25,1517.1,1615.5
8908,GYG2,1.06,1.52,1.29,1.96,2.87,2.39,63,85,74
8909,ENDOU,0.1,0.03,0.05,0.18,0.05,0.1,4,1,2
8910,SGCE,0.2,0.26,0.15,0.38,0.49,0.29,12.04,14.15,10.14
8911,CACNA1I,0.07,0.29,0.28,0.14,0.54,0.52,14,52,50
8912,CACNA1H,0.58,0.48,0.49,1.07,0.91,0.91,82,63,65.96
8913,CACNA1G,0.01,0.05,0.07,0.01,0.1,0.13,1,8,10
8914,TIMELESS,25.47,19.06,19.63,47.16,36.07,36.24,2470.2,1798.15,1794.19
8915,BCL10,11.94,17.22,14.14,22.11,32.57,26.11,611.12,837.58,668.35
8916,HERC3,25.68,31.6,23.12,47.55,59.77,42.69,2283.05,2649.47,1900.63
8924,HERC2,8,5.79,5.25,14.81,10.95,9.69,1849.95,1330.89,1213.94
8925,HERC1,1.59,1.59,1.58,2.95,3,2.92,458,445,429
8926,SNURF,58.21,68.26,62.33,107.8,129.13,115.1,1470.59,1802.65,1587.83
8927,BSN,0.1,0.22,0.2,0.18,0.41,0.37,30,64,57
8928,FOXH1,0.59,0.14,0.17,1.09,0.27,0.31,22.05,5.21,5.92
8930,MBD4,13.16,10.21,8.8,24.37,19.31,16.25,612.73,469.86,388
8932,MBD2,17.91,18.39,16.69,33.16,34.79,30.82,1705,1703,1498
8933,RTL8C,69.84,104.83,123.18,129.33,198.31,227.47,1515.62,2212.29,2519.55
8934,RAB29,19.96,24.2,20.24,36.97,45.77,37.38,1189.62,1401.02,1126.02
8935,SKAP2,10.21,13.67,11.19,18.9,25.85,20.66,735.62,957.23,761.27
8936,WASF1,6.48,7.25,6.23,12,13.72,11.51,350,383,318
8938,BAIAP3,2.97,3.71,4.7,5.49,7.02,8.68,252.43,305.15,377.2
8939,FUBP3,23.36,18.93,15.55,43.26,35.81,28.71,1387,1158,937
8940,TOP3B,8.58,9.35,11.55,15.89,17.68,21.34,478,531,638
8941,CDK5R2,0.06,0.11,0.14,0.12,0.21,0.25,3,5,6
8942,KYNU,0.29,0.57,0.42,0.54,1.08,0.77,84.14,133.32,112.11
8943,AP3D1,83.29,79.26,83.96,154.23,149.94,155.04,7430,6834,7022
8945,BTRC,2.24,1.84,1.58,4.14,3.48,2.93,238,196.17,165.65
8969,H2AC11,4.85,9.98,11.78,8.97,18.89,21.76,40.84,81.85,93.61
8970,H2BC11,8.14,5.05,4.93,15.08,9.55,9.11,66.65,40.16,38.03
8971,H1-10,221.99,349.77,385.31,411.09,661.68,711.52,6183,9474,10115
8972,MGAM,0,0.02,0,0,0.03,0,0,2,0
8974,P4HA2,4.53,9.9,10.58,8.38,18.74,19.54,402.27,857.4,892.12
8975,USP13,5.23,4.03,4.83,9.69,7.62,8.91,607.73,547.47,610.24
8976,WASL,12.43,16.66,16.26,23.02,31.52,30.02,1018,1327,1255
8985,PLOD3,32.07,21.43,24.57,59.39,40.55,45.38,1688,1097,1219
8986,RPS6KA4,28.6,19.99,23.2,52.95,37.81,42.85,1662,1131,1271
8987,STBD1,5.03,7.41,8.79,9.31,14.01,16.24,276.92,396.8,456.71
8989,TRPA1,0.01,0,0.01,0.02,0,0.02,1,0,1
8991,SELENBP1,175.41,346.6,392.22,324.82,655.68,724.28,5615,10851,11881.31
8992,ATP6V0E1,112.99,121.92,109.77,209.24,230.64,202.7,2939,3084,2691
8994,LIMD1,7.59,7.54,7.52,14.05,14.26,13.89,1472.29,1430.51,1389.6
8995,TNFSF18,0.15,0.93,1.2,0.28,1.76,2.21,2,12,15
8996,NOL3,32.39,38.3,39.38,59.98,72.45,72.72,869.8,1005.86,978.08
8997,KALRN,0.58,0.88,1.08,1.07,1.66,2,79.04,123,142.45
8999,CDKL2,0.01,0.01,0,0.03,0.03,0,1,1,0
9001,HAP1,0.37,1.02,1.29,0.68,1.93,2.38,24,56,71
9002,F2RL3,0.17,0.26,0.29,0.32,0.5,0.53,10.84,15.92,16.87
9013,TAF1C,7.31,9.31,10.01,13.54,17.62,18.49,519,640.99,653.15
9014,TAF1B,2.34,2.72,2.83,4.33,5.14,5.23,97,109,111
9015,TAF1A,1.81,1.24,1.56,3.36,2.34,2.88,70.91,52.02,56.74
9016,SLC25A14,5.7,7.7,6.71,10.55,14.56,12.4,131.4,172.29,144.44
9019,MPZL1,47.64,51.73,47.3,88.23,97.86,87.35,4453.03,4702,4168.19
9020,MAP3K14,2.66,3.25,3.98,4.93,6.16,7.35,223,264,314
9021,SOCS3,0.14,0.02,0.17,0.25,0.04,0.31,7,1,8
9022,CLIC3,0.25,0.36,1.03,0.47,0.67,1.9,4,5,14
9024,BRSK2,1.09,1.91,2.03,2.01,3.6,3.75,84,144,149
9025,RNF8,12.73,15.21,14.33,23.57,28.77,26.45,487.88,567.8,511.4
9026,HIP1R,11.25,11.52,11.64,20.83,21.8,21.49,894,866,882
9027,NAT8,0.1,0.1,0,0.19,0.2,0,2,2,0
9028,RHBDL1,0.35,0.59,0.81,0.65,1.12,1.49,10,14,22
9031,BAZ1B,29.86,24.55,24.35,55.3,46.45,44.97,3704,2963,2847
9033,PKD2L1,0.04,0.06,0.06,0.08,0.11,0.12,3,4,4
9034,CCRL2,0,0.04,0,0,0.07,0,0,1,0
9037,SEMA5A,0.1,0.11,0.11,0.18,0.2,0.2,20.96,23.14,22.79
9039,UBA3,33.6,27.22,21.9,62.21,51.49,40.44,1312,1035,807
9040,UBE2M,191.89,185.02,191.71,355.35,350.02,354.02,4044,3792,3808
9043,SPAG9,7.37,6.07,4.93,13.65,11.47,9.1,1036.88,870.59,695.15
9044,BTAF1,6.48,6.16,5.43,12,11.65,10.03,927,850,727
9045,RPL14,85.81,79.9,75.47,158.9,151.15,139.36,11388.72,10326.98,9446.88
9046,DOK2,0,0.04,0.07,0,0.07,0.13,0,1,2
9047,SH2D2A,0.04,0.39,0.32,0.07,0.74,0.6,1,10,9
